,brand,category,name,rating,number_of_reviews,price,value_price,MarketingFlags,MarketingFlags_content,online_only,exclusive,limited_edition,limited_time_offer,likes
0,Acqua Di Parma,Fragrance,Blu Mediterraneo MINIATURE Set,1,4,66.0,75.0,True,online only,1,0,0,0,3002
1,Acqua Di Parma,Cologne,Colonia,1,76,66.0,66.0,True,online only,1,0,0,0,2700
2,Acqua Di Parma,Perfume,Arancia di Capri,1,26,180.0,180.0,True,online only,1,0,0,0,2600
4,Acqua Di Parma,Fragrance,Colonia Miniature Set,0,2,72.0,80.0,True,online only,1,0,0,0,943
5,Acqua Di Parma,Perfume,Fico di Amalfi,1,79,180.0,180.0,True,online only,1,0,0,0,2600
6,Acqua Di Parma,Perfume,Rosa Nobile,1,79,210.0,210.0,True,online only,1,0,0,0,5000
7,Acqua Di Parma,Cologne,Colonia Essenza,1,13,120.0,120.0,True,online only,1,0,0,0,719
8,Acqua Di Parma,Body Mist & Hair Mist,Peonia Nobile Hair Mist,1,5,58.0,58.0,True,online only,1,0,0,0,800
9,Acqua Di Parma,Perfume,Rosa Nobile Hair Mist,0,5,58.0,58.0,True,exclusive · online only,1,1,0,0,2100
10,Acqua Di Parma,Perfume,Cipresso di Toscana,0,3,120.0,120.0,True,online only,1,0,0,0,87
11,Acqua Di Parma,Perfume,Bergamotto di Calabria,1,16,120.0,120.0,False,0,0,0,0,0,1900
12,Acqua Di Parma,Perfume,Peonia Nobile,1,19,142.0,142.0,True,online only,1,0,0,0,2300
13,Acqua Di Parma,Perfume,Mandorlo di Sicilia,1,44,120.0,120.0,True,online only,1,0,0,0,2900
15,Acqua Di Parma,Fragrance,Blu Mediterraneo Discovery Collection Rollerball Set,1,1,80.0,95.0,True,limited edition · exclusive · online only,1,1,1,0,594
16,Acqua Di Parma,Perfume,Chinotto di Liguria,1,6,120.0,120.0,True,online only,1,0,0,0,306
17,Acqua Di Parma,Body Lotions & Body Oils,Fico di Amalfi Spray Body Lotion,0,2,55.0,55.0,True,online only,1,0,0,0,420
18,Acqua Di Parma,Body Sprays & Deodorant,Colonia Alcohol-Free Deodorant,0,7,50.0,50.0,True,online only,1,0,0,0,400
19,Acqua Di Parma,Cologne,Colonia Intensa,1,20,120.0,120.0,True,online only,1,0,0,0,584
20,Acqua Di Parma,Perfume Gift Sets,Blu Mediterraneo Fico di Amalfi Gift Set,1,1,113.0,143.0,True,limited edition · online only,1,0,1,0,211
21,Acqua Di Parma,Perfume,Blu Mediterraneo Cipresso di Toscana Travel Spray,1,1,70.0,70.0,True,online only,1,0,0,0,250
22,Acqua Di Parma,Perfume,Colonia Pura,1,5,120.0,120.0,True,online only,1,0,0,0,396
23,Acqua Di Parma,Body Lotions & Body Oils,Arancia di Capri Spray Body Lotion,0,2,55.0,55.0,True,online only,1,0,0,0,444
24,Acqua Di Parma,Perfume,Magnolia Nobile,1,34,142.0,142.0,True,online only,1,0,0,0,1900
25,Acqua Di Parma,Cologne,Colonia Ebano Eau de Cologne Concentré,1,1,245.0,245.0,True,online only,1,0,0,0,116
26,Acqua Di Parma,Cologne,Colonia Club,0,0,120.0,120.0,True,online only,1,0,0,0,259
27,Acqua Di Parma,Perfume,Osmanthus Eau de Parfum,1,2,275.0,275.0,True,online only,1,0,0,0,464
28,Acqua Di Parma,Perfume Gift Sets,Peonia Nobile Gift Set,1,1,200.0,279.0,True,limited edition · online only,1,0,1,0,153
29,Acqua Di Parma,Cologne,Colonia Leather,1,5,245.0,245.0,True,online only,1,0,0,0,303
30,Acqua Di Parma,Cologne,Colonia Mirra Eau de Cologne Concentré,1,2,245.0,245.0,True,online only,1,0,0,0,160
31,Acqua Di Parma,Perfume Gift Sets,Blu Mediterraneo Arancia di Capri Gift Set,0,0,113.0,143.0,True,limited edition · online only,1,0,1,0,204
32,Acqua Di Parma,Perfume Gift Sets,Rosa Nobile Gift Set,0,0,200.0,279.0,True,limited edition · online only,1,0,1,0,235
33,Acqua Di Parma,Perfume,Sakura Eau de Parfum,0,0,275.0,275.0,True,online only,1,0,0,0,165
34,Acqua Di Parma,Perfume,Yuzu Eau de Parfum,0,0,275.0,275.0,True,online only,1,0,0,0,122
35,AERIN,Perfume,Mediterranean Honeysuckle,1,91,130.0,130.0,True,online only,1,0,0,0,8000
36,AERIN,Perfume,Amber Musk,1,77,130.0,130.0,True,online only,1,0,0,0,5600
37,AERIN,Perfume,Rose De Grasse,1,12,235.0,235.0,True,online only,1,0,0,0,1700
38,AERIN,Perfume,Lilac Path,1,63,130.0,130.0,True,online only,1,0,0,0,3800
39,AERIN,no category,Wild Geranium,0,0,30.0,30.0,True,online only,1,0,0,0,108
40,AERIN,Rollerballs & Travel Size,Mini Mediterranean Honeysuckle Eau de Parfum Travel Spray,1,32,30.0,30.0,True,online only,1,0,0,0,5900
